Date,Open,High,Low,Close,Adj Close,Volume
01-07-02,910,935,880,927.299988,840.357666,3286
08-07-02,930,934,885,896.5,812.445374,4633
15-07-02,900,925,867,907.450012,822.368896,4097
22-07-02,898,901,852,881.700012,799.033142,2906
29-07-02,884,928,852,889.400024,806.011108,6617
05-08-02,850,970,850,907.200012,822.142395,9316
12-08-02,909,929.75,849.900024,908,825.617554,1651
19-08-02,905,925,889,902.5,820.616638,2586
26-08-02,915,920,888,901.599976,819.798157,3384
02-09-02,907,914,851,901.400024,819.616394,1089
09-09-02,840,917,840,906.049988,823.844482,1441
16-09-02,895,917,895,915.5,832.437195,2332
23-09-02,906,928,902,922.950012,839.211121,3717
30-09-02,920,920,866.099976,871.5,792.429138,1099
07-10-02,875,888.700012,836,838,761.968811,1045
14-10-02,825,856.950012,779.450012,841.400024,765.060303,824
21-10-02,850,861,835,854.849976,777.289734,1234
28-10-02,850.099976,852,811,837.5,761.513916,918
04-11-02,878.900024,878.900024,805,843.650024,767.10614,572
11-11-02,846.950012,852.950012,830,843,766.514832,456
18-11-02,879.950012,879.950012,833.25,847.099976,773.005371,696
25-11-02,850,874,841,853,778.389526,1475
02-12-02,848.099976,878,840,872.25,795.955811,2728
09-12-02,860,875,835,862.700012,787.241089,2926
16-12-02,865,941,862,924.900024,844.000488,5659
23-12-02,940,949,880,895,816.715698,3862
30-12-02,900,914.849976,891,895.849976,817.491333,1703
06-01-03,909.75,909.799988,875,881.599976,804.487976,949
13-01-03,880.200012,888.700012,875,875,798.465088,729
20-01-03,877,909,860,888.599976,810.875488,5316
27-01-03,888,904,850,890.700012,812.791809,2306
03-02-03,889,910,883.049988,886,808.502991,2148
10-02-03,870.299988,894.650024,865,884.400024,807.042786,750
17-02-03,880,890,862,873.299988,796.913635,1842
24-02-03,882,900,863,892.5,814.43457,3421
03-03-03,898.799988,922.799988,886,911.599976,831.863708,5468
10-03-03,919,938.599976,870,870.049988,806.331543,2472
17-03-03,863,910,854.549988,901.349976,835.339172,829
24-03-03,905,920,863,872.299988,808.416748,2244
31-03-03,860,900,856.099976,890.099976,824.913208,1778
07-04-03,898,915,880,902.150024,836.080383,2956
14-04-03,908.900024,1089.949951,892,1005.849976,932.186096,11753
21-04-03,1005,1053.349976,929.049988,1010,936.032104,9912
28-04-03,1000,1116,979.099976,1106.75,1025.696655,8019
05-05-03,1020,1152.800049,1020,1120.650024,1038.578735,9981
12-05-03,1110,1240,1110,1190.599976,1103.405396,9312
19-05-03,1197,1275,1180,1263.550049,1171.01355,13156
26-05-03,1250,1348,1242,1299.5,1204.330688,14019
02-06-03,1300,1325,1150,1169.449951,1083.804565,11093
09-06-03,1190,1219.800049,1151,1174.949951,1088.901489,13386
16-06-03,1160,1234,1154,1195.75,1108.178589,12687
23-06-03,1217.949951,1319,1180.099976,1230.300049,1140.19873,11970
30-06-03,1237,1475,1221.099976,1404.349976,1301.501709,23617
07-07-03,1454,1489,1375,1405.099976,1302.196899,20232
14-07-03,1419,1459,1390,1403.800049,1300.991821,12659
21-07-03,1391,1440,1365,1428.949951,1324.300049,9779
28-07-03,1449,1515,1300,1346.550049,1247.934692,29622
04-08-03,1360,1530,1340,1455.449951,1348.859253,19410
11-08-03,1400,1580,1400,1512.300049,1404.468384,21063
18-08-03,1505,1539.949951,1460,1495,1388.401611,12273
25-08-03,1500,1520,1351,1431.800049,1329.708374,9671
01-09-03,1401.050049,1475,1401,1456.300049,1352.46106,9445
08-09-03,1500,1625,1498,1550.300049,1439.759033,18024
15-09-03,1526,1559,1422,1427.400024,1325.622314,8182
22-09-03,1479.849976,1497,1375,1472.800049,1367.7854,3839
29-09-03,1470,1645,1450,1601.199951,1487.029175,11567
06-10-03,1617.949951,1830,1617.949951,1785.800049,1658.466919,16810
